TimeStamp,NYA_DCS_G6710A_TotalKVAR,HEALTH
2022-01-20 10:00:00+07:00,33.68,100.0
2022-01-20 11:00:00+07:00,32.8,100.0
2022-01-20 12:00:00+07:00,31.62,100.0
2022-01-20 14:00:00+07:00,30.98,100.0
2022-01-20 15:00:00+07:00,32.2,100.0
2022-01-20 16:00:00+07:00,31.75,100.0
2022-01-20 19:00:00+07:00,31.44,100.0
2022-01-20 20:00:00+07:00,33.24,100.0
2022-01-20 21:00:00+07:00,33.19,100.0
2022-01-20 22:00:00+07:00,30.22,100.0
2022-01-20 23:00:00+07:00,34.98,100.0
2022-01-21 00:00:00+07:00,29.96,100.0
2022-01-21 01:00:00+07:00,31.83,100.0
2022-01-21 02:00:00+07:00,34.41,100.0
2022-01-21 03:00:00+07:00,33.32,100.0
2022-01-21 04:00:00+07:00,33.06,100.0
2022-01-21 05:00:00+07:00,33.15,100.0
2022-01-21 06:00:00+07:00,30.5,100.0
2022-01-21 07:00:00+07:00,33.02,100.0
2022-01-21 08:00:00+07:00,32.88,100.0
2022-01-21 09:00:00+07:00,34.44,100.0
2022-01-21 11:00:00+07:00,32.38,100.0
2022-01-21 13:00:00+07:00,32.27,100.0
2022-01-21 14:00:00+07:00,33.29,100.0
2022-01-21 15:00:00+07:00,32.56,100.0
2022-01-21 16:00:00+07:00,33.11,100.0
2022-01-21 17:00:00+07:00,32.47,100.0
2022-01-21 18:00:00+07:00,33.31,100.0
2022-01-21 19:00:00+07:00,33.94,100.0
2022-01-21 22:00:00+07:00,34.49,100.0
2022-01-21 23:00:00+07:00,32.14,100.0
2022-01-22 00:00:00+07:00,31.22,100.0
2022-01-22 01:00:00+07:00,32.91,100.0
2022-01-22 02:00:00+07:00,34.01,100.0
2022-01-22 03:00:00+07:00,31.56,100.0
2022-01-22 04:00:00+07:00,32.0,100.0
2022-01-22 05:00:00+07:00,35.29,100.0
2022-01-22 06:00:00+07:00,31.65,100.0
2022-01-22 07:00:00+07:00,32.33,100.0
2022-01-22 08:00:00+07:00,30.18,100.0
2022-01-22 09:00:00+07:00,31.52,100.0
2022-01-22 10:00:00+07:00,30.21,100.0
2022-01-22 11:00:00+07:00,31.91,100.0
2022-01-22 12:00:00+07:00,31.12,100.0
2022-01-22 13:00:00+07:00,30.7,100.0
2022-01-22 15:00:00+07:00,31.9,100.0
2022-01-22 16:00:00+07:00,33.53,100.0
2022-01-22 17:00:00+07:00,34.82,100.0
2022-01-22 18:00:00+07:00,30.34,100.0
2022-01-22 20:00:00+07:00,33.03,100.0
2022-01-22 21:00:00+07:00,30.83,100.0
2022-01-22 22:00:00+07:00,29.56,100.0
2022-01-22 23:00:00+07:00,32.34,100.0
2022-01-23 00:00:00+07:00,32.95,100.0
2022-01-23 01:00:00+07:00,33.42,100.0
2022-01-23 02:00:00+07:00,32.72,100.0
2022-01-23 03:00:00+07:00,34.19,100.0
2022-01-23 04:00:00+07:00,32.44,100.0
2022-01-23 06:00:00+07:00,31.64,100.0
2022-01-23 08:00:00+07:00,33.04,100.0
2022-01-23 09:00:00+07:00,32.42,100.0
2022-01-23 10:00:00+07:00,32.92,100.0
2022-01-23 13:00:00+07:00,31.79,100.0
2022-01-24 16:00:00+07:00,31.8,100.0
2022-01-24 17:00:00+07:00,31.14,100.0
2022-01-24 18:00:00+07:00,30.79,100.0
2022-01-24 20:00:00+07:00,32.79,100.0
2022-01-24 21:00:00+07:00,32.39,100.0
2022-01-24 22:00:00+07:00,33.08,100.0
2022-01-24 23:00:00+07:00,32.5,100.0
2022-01-25 00:00:00+07:00,31.12,100.0
2022-01-25 01:00:00+07:00,30.19,100.0
2022-01-25 02:00:00+07:00,29.97,100.0
2022-01-25 03:00:00+07:00,30.2,100.0
2022-01-25 06:00:00+07:00,33.06,100.0
2022-01-25 07:00:00+07:00,30.31,100.0
2022-01-25 08:00:00+07:00,33.35,100.0
2022-01-25 09:00:00+07:00,32.18,100.0
2022-01-25 10:00:00+07:00,31.3,100.0
2022-01-25 12:00:00+07:00,33.4,100.0
2022-01-25 14:00:00+07:00,33.48,100.0
2022-01-27 09:00:00+07:00,33.29,100.0
2022-01-27 10:00:00+07:00,32.01,100.0
2022-01-27 11:00:00+07:00,32.77,100.0
2022-01-27 12:00:00+07:00,31.3,100.0
2022-01-27 13:00:00+07:00,30.88,100.0
2022-01-27 14:00:00+07:00,31.76,100.0
2022-01-27 15:00:00+07:00,32.26,100.0
2022-01-27 16:00:00+07:00,32.01,100.0
2022-01-27 17:00:00+07:00,31.98,100.0
2022-01-27 18:00:00+07:00,34.8,100.0
2022-01-27 19:00:00+07:00,32.23,100.0
2022-01-27 20:00:00+07:00,30.42,100.0
2022-01-27 21:00:00+07:00,32.63,100.0
2022-01-27 22:00:00+07:00,33.22,100.0
2022-01-27 23:00:00+07:00,34.09,100.0
2022-01-28 00:00:00+07:00,23.33,100.0
2022-01-28 08:00:00+07:00,30.88,100.0
2022-01-28 09:00:00+07:00,33.9,100.0
2022-01-28 10:00:00+07:00,32.97,100.0
2022-01-28 11:00:00+07:00,33.04,100.0
2022-01-28 12:00:00+07:00,31.45,100.0
2022-01-28 13:00:00+07:00,31.36,100.0
2022-01-28 14:00:00+07:00,32.44,100.0
2022-01-28 15:00:00+07:00,30.09,100.0
2022-01-28 16:00:00+07:00,33.96,100.0
2022-01-28 17:00:00+07:00,33.52,100.0
2022-01-28 18:00:00+07:00,31.33,100.0
2022-01-28 19:00:00+07:00,33.8,100.0
2022-01-28 20:00:00+07:00,35.35,100.0
2022-01-28 21:00:00+07:00,34.52,100.0
2022-01-28 22:00:00+07:00,33.0,100.0
2022-01-28 23:00:00+07:00,31.94,100.0
2022-01-29 00:00:00+07:00,31.09,100.0
2022-01-29 01:00:00+07:00,33.71,100.0
2022-01-29 02:00:00+07:00,31.75,100.0
2022-01-29 03:00:00+07:00,30.8,100.0
2022-01-29 04:00:00+07:00,33.77,100.0
2022-01-29 05:00:00+07:00,32.17,100.0
2022-01-29 06:00:00+07:00,31.2,100.0
2022-01-29 07:00:00+07:00,34.5,100.0
2022-01-29 08:00:00+07:00,30.73,100.0
2022-01-29 09:00:00+07:00,30.46,100.0
2022-01-29 10:00:00+07:00,34.03,100.0
2022-01-29 11:00:00+07:00,33.23,100.0
2022-01-29 12:00:00+07:00,31.05,100.0
2022-01-29 13:00:00+07:00,32.45,100.0
2022-01-29 14:00:00+07:00,32.23,100.0
2022-01-29 15:00:00+07:00,33.14,100.0
2022-01-29 16:00:00+07:00,32.03,100.0
2022-01-29 17:00:00+07:00,35.43,100.0
2022-01-29 18:00:00+07:00,31.67,100.0
2022-01-29 19:00:00+07:00,29.95,100.0
2022-01-29 20:00:00+07:00,31.08,100.0
2022-01-29 21:00:00+07:00,33.09,100.0
2022-01-29 22:00:00+07:00,30.88,100.0
2022-01-29 23:00:00+07:00,32.84,100.0
