TimeStamp,NYA_DCS_G6710A_Rear_Bear_Temp,HEALTH
2022-01-15 00:00:00+07:00,93.2,100.0
2022-01-15 02:00:00+07:00,93.2,100.0
2022-01-15 03:00:00+07:00,93.2,100.0
2022-01-15 04:00:00+07:00,92.55,100.0
2022-01-15 05:00:00+07:00,91.89,100.0
2022-01-15 06:00:00+07:00,91.4,100.0
2022-01-15 07:00:00+07:00,91.4,100.0
2022-01-15 08:00:00+07:00,92.44,100.0
2022-01-15 09:00:00+07:00,93.2,100.0
2022-01-15 10:00:00+07:00,93.2,100.0
2022-01-15 11:00:00+07:00,93.44,100.0
2022-01-15 12:00:00+07:00,94.98,100.0
2022-01-15 13:00:00+07:00,95.0,100.0
2022-01-15 14:00:00+07:00,95.0,100.0
2022-01-15 16:00:00+07:00,95.49,100.0
2022-01-15 18:00:00+07:00,94.51,100.0
2022-01-15 20:00:00+07:00,93.2,100.0
2022-01-15 21:00:00+07:00,93.2,100.0
2022-01-15 22:00:00+07:00,93.2,100.0
2022-01-15 23:00:00+07:00,93.2,100.0
2022-01-16 00:00:00+07:00,93.2,100.0
2022-01-16 01:00:00+07:00,93.16,100.0
2022-01-16 02:00:00+07:00,93.2,100.0
2022-01-16 05:00:00+07:00,92.11,100.0
2022-01-16 06:00:00+07:00,92.99,100.0
2022-01-16 09:00:00+07:00,93.2,100.0
2022-01-16 10:00:00+07:00,93.2,100.0
2022-01-16 11:00:00+07:00,93.2,100.0
2022-01-16 13:00:00+07:00,95.0,100.0
2022-01-16 15:00:00+07:00,95.0,100.0
2022-01-16 16:00:00+07:00,95.0,100.0
2022-01-16 18:00:00+07:00,94.39,100.0
2022-01-16 19:00:00+07:00,93.2,100.0
2022-01-16 20:00:00+07:00,92.93,100.0
2022-01-16 21:00:00+07:00,92.06,100.0
2022-01-16 23:00:00+07:00,91.45,100.0
2022-01-17 01:00:00+07:00,92.93,100.0
2022-01-17 04:00:00+07:00,93.07,100.0
2022-01-17 05:00:00+07:00,91.42,100.0
2022-01-17 06:00:00+07:00,91.38,100.0
2022-01-17 07:00:00+07:00,90.84,100.0
2022-01-17 08:00:00+07:00,91.14,100.0
2022-01-17 09:00:00+07:00,91.4,100.0
2022-01-17 10:00:00+07:00,91.4,100.0
2022-01-17 11:00:00+07:00,92.34,100.0
2022-01-17 12:00:00+07:00,93.2,100.0
2022-01-17 13:00:00+07:00,93.2,100.0
2022-01-17 17:00:00+07:00,95.04,100.0
2022-01-17 19:00:00+07:00,93.2,100.0
2022-01-17 20:00:00+07:00,93.2,100.0
2022-01-17 21:00:00+07:00,93.2,100.0
2022-01-17 22:00:00+07:00,93.2,100.0
2022-01-17 23:00:00+07:00,93.14,100.0
2022-01-18 01:00:00+07:00,89.8,100.0
2022-01-18 02:00:00+07:00,87.8,100.0
2022-01-18 04:00:00+07:00,87.8,100.0
2022-01-18 05:00:00+07:00,87.8,100.0
2022-01-18 06:00:00+07:00,87.8,100.0
2022-01-18 07:00:00+07:00,90.83,100.0
2022-01-18 08:00:00+07:00,92.88,100.0
2022-01-18 09:00:00+07:00,94.75,100.0
2022-01-18 10:00:00+07:00,95.0,100.0
2022-01-18 11:00:00+07:00,95.0,100.0
2022-01-18 14:00:00+07:00,94.98,100.0
2022-01-18 18:00:00+07:00,94.22,100.0
2022-01-18 19:00:00+07:00,93.2,100.0
2022-01-18 20:00:00+07:00,93.2,100.0
2022-01-18 22:00:00+07:00,94.12,100.0
2022-01-18 23:00:00+07:00,92.81,100.0
2022-01-19 00:00:00+07:00,90.17,100.0
2022-01-19 01:00:00+07:00,88.6,100.0
2022-01-19 02:00:00+07:00,85.68,100.0
2022-01-19 03:00:00+07:00,86.7,100.0
2022-01-19 04:00:00+07:00,90.29,100.0
2022-01-19 05:00:00+07:00,91.4,100.0
2022-01-19 06:00:00+07:00,90.48,100.0
2022-01-19 07:00:00+07:00,89.94,100.0
2022-01-19 08:00:00+07:00,90.5,100.0
2022-01-19 09:00:00+07:00,92.71,100.0
2022-01-19 10:00:00+07:00,93.2,100.0
2022-01-19 12:00:00+07:00,93.11,100.0
2022-01-19 13:00:00+07:00,90.3,100.0
2022-01-19 14:00:00+07:00,86.76,100.0
2022-01-19 15:00:00+07:00,84.53,100.0
2022-01-19 16:00:00+07:00,82.4,100.0
2022-01-19 17:00:00+07:00,81.82,100.0
2022-01-19 18:00:00+07:00,82.49,100.0
2022-01-19 19:00:00+07:00,83.58,100.0
2022-01-19 20:00:00+07:00,85.97,100.0
2022-01-19 21:00:00+07:00,84.57,100.0
2022-01-19 22:00:00+07:00,82.45,100.0
2022-01-19 23:00:00+07:00,80.6,100.0
2022-01-20 00:00:00+07:00,80.6,100.0
2022-01-20 01:00:00+07:00,82.33,100.0
2022-01-20 02:00:00+07:00,84.4,100.0
2022-01-20 03:00:00+07:00,88.81,100.0
2022-01-20 04:00:00+07:00,91.34,100.0
2022-01-20 05:00:00+07:00,91.4,100.0
2022-01-20 06:00:00+07:00,91.99,100.0
2022-01-20 07:00:00+07:00,91.4,100.0
2022-01-20 08:00:00+07:00,91.4,100.0
2022-01-20 09:00:00+07:00,92.75,100.0
2022-01-20 10:00:00+07:00,92.8,100.0
2022-01-20 11:00:00+07:00,94.11,100.0
2022-01-20 12:00:00+07:00,94.55,100.0
2022-01-20 14:00:00+07:00,91.17,100.0
2022-01-20 15:00:00+07:00,91.21,100.0
2022-01-20 16:00:00+07:00,88.17,100.0
2022-01-20 19:00:00+07:00,88.46,100.0
2022-01-20 20:00:00+07:00,91.06,100.0
2022-01-20 21:00:00+07:00,90.52,100.0
2022-01-20 22:00:00+07:00,91.4,100.0
2022-01-20 23:00:00+07:00,91.05,100.0
2022-01-21 00:00:00+07:00,91.31,100.0
2022-01-21 01:00:00+07:00,89.17,100.0
2022-01-21 02:00:00+07:00,87.47,100.0
2022-01-21 03:00:00+07:00,85.17,100.0
2022-01-21 04:00:00+07:00,84.11,100.0
2022-01-21 05:00:00+07:00,84.2,100.0
2022-01-21 06:00:00+07:00,85.14,100.0
2022-01-21 07:00:00+07:00,86.32,100.0
2022-01-21 08:00:00+07:00,87.84,100.0
2022-01-21 09:00:00+07:00,89.6,100.0
2022-01-21 11:00:00+07:00,92.02,100.0
2022-01-21 13:00:00+07:00,87.8,100.0
2022-01-21 14:00:00+07:00,88.85,100.0
