TimeStamp,NYA_DCS_G6710A_CoolantTemp_RB,NYA_DCS_G6710A_OilTemp,CLUSTER,OVER_BY,HEALTH
2022-01-10 04:00:00+07:00,179.24,180.26,1,0.0,100.0
2022-01-10 05:00:00+07:00,180.13,180.71,1,0.0,100.0
2022-01-10 06:00:00+07:00,182.88,183.13,1,0.0,100.0
2022-01-10 07:00:00+07:00,184.9,184.43,1,0.0,100.0
2022-01-10 08:00:00+07:00,185.0,185.0,1,0.0,100.0
2022-01-10 09:00:00+07:00,183.89,184.34,1,0.0,100.0
2022-01-10 10:00:00+07:00,182.47,182.72,1,0.0,100.0
2022-01-10 11:00:00+07:00,184.87,184.87,1,0.0,100.0
2022-01-10 12:00:00+07:00,186.61,185.92,1,0.0,100.0
2022-01-10 13:00:00+07:00,185.26,185.54,1,0.0,100.0
2022-01-10 14:00:00+07:00,183.6,183.59,1,0.0,100.0
2022-01-10 15:00:00+07:00,182.17,182.54,1,0.0,100.0
2022-01-10 16:00:00+07:00,182.99,183.39,1,0.0,100.0
2022-01-10 17:00:00+07:00,182.32,182.71,1,0.0,100.0
2022-01-10 18:00:00+07:00,181.64,182.5,1,0.0,100.0
2022-01-10 19:00:00+07:00,183.66,183.83,1,0.0,100.0
2022-01-10 20:00:00+07:00,184.63,184.52,1,0.0,100.0
2022-01-10 21:00:00+07:00,185.0,184.81,1,0.0,100.0
2022-01-10 22:00:00+07:00,185.0,184.76,1,0.0,100.0
2022-01-10 23:00:00+07:00,182.05,182.73,1,0.0,100.0
2022-01-11 00:00:00+07:00,179.3,180.29,1,0.0,100.0
2022-01-11 01:00:00+07:00,179.29,180.07,1,0.0,100.0
2022-01-11 02:00:00+07:00,183.02,183.11,1,0.0,100.0
2022-01-11 03:00:00+07:00,179.4,180.19,1,0.0,100.0
2022-01-11 04:00:00+07:00,181.22,181.77,1,0.0,100.0
2022-01-11 05:00:00+07:00,182.76,183.12,1,0.0,100.0
2022-01-11 06:00:00+07:00,181.78,182.36,1,0.0,100.0
2022-01-11 07:00:00+07:00,183.05,183.49,1,0.0,100.0
