TimeStamp,NYA_DCS_G6710A_OilPressure,HEALTH
2022-01-27 19:00:00+07:00,60.92,100.0
2022-01-27 20:00:00+07:00,60.92,100.0
2022-01-27 21:00:00+07:00,60.86,100.0
2022-01-27 22:00:00+07:00,60.92,100.0
2022-01-27 23:00:00+07:00,60.91,100.0
2022-01-28 00:00:00+07:00,42.23,0.0
2022-01-28 08:00:00+07:00,63.39,100.0
2022-01-28 09:00:00+07:00,63.02,100.0
2022-01-28 10:00:00+07:00,62.83,100.0
2022-01-28 11:00:00+07:00,63.13,100.0
2022-01-28 12:00:00+07:00,62.78,100.0
2022-01-28 13:00:00+07:00,62.92,100.0
2022-01-28 14:00:00+07:00,63.24,100.0
2022-01-28 15:00:00+07:00,62.9,100.0
2022-01-28 16:00:00+07:00,62.66,100.0
2022-01-28 17:00:00+07:00,62.65,100.0
2022-01-28 18:00:00+07:00,62.3,100.0
2022-01-28 19:00:00+07:00,62.07,100.0
2022-01-28 20:00:00+07:00,62.08,100.0
2022-01-28 21:00:00+07:00,62.42,100.0
2022-01-28 22:00:00+07:00,62.44,100.0
2022-01-28 23:00:00+07:00,62.54,100.0
2022-01-29 00:00:00+07:00,62.66,100.0
2022-01-29 01:00:00+07:00,62.68,100.0
2022-01-29 02:00:00+07:00,62.66,100.0
2022-01-29 03:00:00+07:00,62.65,100.0
2022-01-29 04:00:00+07:00,62.7,100.0
2022-01-29 05:00:00+07:00,62.65,100.0
2022-01-29 06:00:00+07:00,62.56,100.0
2022-01-29 07:00:00+07:00,62.64,100.0
2022-01-29 08:00:00+07:00,62.66,100.0
2022-01-29 09:00:00+07:00,62.43,100.0
2022-01-29 10:00:00+07:00,62.15,100.0
2022-01-29 11:00:00+07:00,62.08,100.0
2022-01-29 12:00:00+07:00,62.08,100.0
2022-01-29 13:00:00+07:00,62.08,100.0
2022-01-29 14:00:00+07:00,62.23,100.0
2022-01-29 15:00:00+07:00,62.08,100.0
2022-01-29 16:00:00+07:00,62.06,100.0
2022-01-29 17:00:00+07:00,62.08,100.0
2022-01-29 18:00:00+07:00,62.08,100.0
2022-01-29 19:00:00+07:00,62.09,100.0
2022-01-29 20:00:00+07:00,62.08,100.0
2022-01-29 21:00:00+07:00,62.08,100.0
2022-01-29 22:00:00+07:00,62.13,100.0
2022-01-29 23:00:00+07:00,62.11,100.0
